run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
higher_weight_decay_attnFalse_lossmse_pca8,higher_weight_decay,False,mse,8,0.2,0.5,0.001,0.001,0.26230158730158726,0.5207660561983214,0.5099875185017784,
higher_weight_decay_attnFalse_lossmse_pcaNone,higher_weight_decay,False,mse,,0.2,0.5,0.001,0.001,0.2956349206349206,0.031471188899010766,0.1411784092585246,
higher_weight_decay_attnFalse_lossmae_pca2,higher_weight_decay,False,mae,2,0.2,0.5,0.001,0.001,0.2565972222222222,0.24771796184506684,0.3623770510700221,
higher_weight_decay_attnFalse_lossmae_pca4,higher_weight_decay,False,mae,4,0.2,0.5,0.001,0.001,0.25937499999999997,0.44962156061528613,0.4670420579301814,
higher_weight_decay_attnFalse_lossmae_pca8,higher_weight_decay,False,mae,8,0.2,0.5,0.001,0.001,0.20173611111111112,0.25607853701002664,0.38007024066367495,
higher_weight_decay_attnFalse_lossmae_pcaNone,higher_weight_decay,False,mae,,0.2,0.5,0.001,0.001,0.4803571428571428,0.07629765752938167,0.18501216700921458,
highest_weight_decay_attnTrue_losshuber_pca2,highest_weight_decay,True,huber,2,0.2,1.0,0.001,0.001,0.3734126984126984,0.6090353978256328,0.3732188254750023,
highest_weight_decay_attnTrue_losshuber_pca4,highest_weight_decay,True,huber,4,0.2,1.0,0.001,0.001,0.30396825396825394,0.1155801416570401,0.29268362338189036,
highest_weight_decay_attnTrue_losshuber_pca8,highest_weight_decay,True,huber,8,0.2,1.0,0.001,0.001,0.2378472222222222,0.30515142967128955,0.4126373299901994,
highest_weight_decay_attnTrue_losshuber_pcaNone,highest_weight_decay,True,huber,,0.2,1.0,0.001,0.001,0.35674603174603176,0.1308454262315366,0.28442269610241055,
highest_weight_decay_attnTrue_lossmse_pca2,highest_weight_decay,True,mse,2,0.2,1.0,0.001,0.001,0.2326388888888889,0.10493713598839532,0.2608285960741341,
highest_weight_decay_attnTrue_lossmse_pca4,highest_weight_decay,True,mse,4,0.2,1.0,0.001,0.001,0.427579365079365,0.1335338995477329,0.2751316830205421,
highest_weight_decay_attnTrue_lossmse_pca8,highest_weight_decay,True,mse,8,0.2,1.0,0.001,0.001,0.22881944444444446,0.6603083707843568,0.4969776417128742,
highest_weight_decay_attnTrue_lossmse_pcaNone,highest_weight_decay,True,mse,,0.2,1.0,0.001,0.001,0.2253472222222222,0.20397519082728272,0.3828478275875872,
highest_weight_decay_attnTrue_lossmae_pca2,highest_weight_decay,True,mae,2,0.2,1.0,0.001,0.001,0.428125,0.5260425656595479,0.4157447693287395,
highest_weight_decay_attnTrue_lossmae_pca4,highest_weight_decay,True,mae,4,0.2,1.0,0.001,0.001,0.2486111111111111,0.25239759879670354,0.3436400229111314,
highest_weight_decay_attnTrue_lossmae_pca8,highest_weight_decay,True,mae,8,0.2,1.0,0.001,0.001,0.371875,0.13906254509767307,0.2848450387828052,
highest_weight_decay_attnTrue_lossmae_pcaNone,highest_weight_decay,True,mae,,0.2,1.0,0.001,0.001,0.2664682539682539,0.20026270616748842,0.3791036657445754,
highest_weight_decay_attnFalse_losshuber_pca2,highest_weight_decay,False,huber,2,0.2,1.0,0.001,0.001,0.32271825396825393,0.36777253912417796,0.47382733986402553,
highest_weight_decay_attnFalse_losshuber_pca4,highest_weight_decay,False,huber,4,0.2,1.0,0.001,0.001,0.25277777777777777,0.504765996731662,0.5238676311370606,
highest_weight_decay_attnFalse_losshuber_pca8,highest_weight_decay,False,huber,8,0.2,1.0,0.001,0.001,0.5296626984126984,2.114903751368671,0.6485822409740649,
