run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
higher_weight_decay_attnTrue_lossmse_pca8,higher_weight_decay,True,mse,8,0.2,0.5,0.001,0.001,0.40882936507936507,0.10007384201058864,0.19946958877456686,
higher_weight_decay_attnTrue_lossmse_pcaNone,higher_weight_decay,True,mse,,0.2,0.5,0.001,0.001,0.38125,0.11224220801397736,0.24415412921613702,
higher_weight_decay_attnTrue_lossmae_pca2,higher_weight_decay,True,mae,2,0.2,0.5,0.001,0.001,0.27847222222222223,1.607169399535119,0.6039054622718443,
higher_weight_decay_attnTrue_lossmae_pca4,higher_weight_decay,True,mae,4,0.2,0.5,0.001,0.001,0.3597222222222222,0.17040585701007177,0.22506054358867308,
higher_weight_decay_attnTrue_lossmae_pca8,higher_weight_decay,True,mae,8,0.2,0.5,0.001,0.001,0.3020833333333333,1.2014614398484842,0.48975653007316095,
higher_weight_decay_attnTrue_lossmae_pcaNone,higher_weight_decay,True,mae,,0.2,0.5,0.001,0.001,0.3881944444444444,0.10804812435676675,0.23388883805212873,
higher_weight_decay_attnFalse_losshuber_pca2,higher_weight_decay,False,huber,2,0.2,0.5,0.001,0.001,0.2895833333333333,2.127496654144977,0.62038548461472,
higher_weight_decay_attnFalse_losshuber_pca4,higher_weight_decay,False,huber,4,0.2,0.5,0.001,0.001,0.4340277777777778,0.40370232749014556,0.3979002469762539,
higher_weight_decay_attnFalse_losshuber_pca8,higher_weight_decay,False,huber,8,0.2,0.5,0.001,0.001,0.42499999999999993,0.06116169283292785,0.1703175959798197,
higher_weight_decay_attnFalse_losshuber_pcaNone,higher_weight_decay,False,huber,,0.2,0.5,0.001,0.001,0.26249999999999996,0.03958092312725607,0.14486957954553267,
higher_weight_decay_attnFalse_lossmse_pca2,higher_weight_decay,False,mse,2,0.2,0.5,0.001,0.001,0.4397321428571428,0.4081869307062115,0.4402526901491607,
higher_weight_decay_attnFalse_lossmse_pca4,higher_weight_decay,False,mse,4,0.2,0.5,0.001,0.001,0.19687499999999997,0.12820972777228568,0.2061686484181943,
higher_weight_decay_attnFalse_lossmse_pca8,higher_weight_decay,False,mse,8,0.2,0.5,0.001,0.001,0.359375,0.16152213459193498,0.2838279572315514,
higher_weight_decay_attnFalse_lossmse_pcaNone,higher_weight_decay,False,mse,,0.2,0.5,0.001,0.001,0.25416666666666665,0.06270191476569591,0.1828679687071902,
higher_weight_decay_attnFalse_lossmae_pca2,higher_weight_decay,False,mae,2,0.2,0.5,0.001,0.001,0.27708333333333335,1.6642831336357025,0.6183839018146197,
higher_weight_decay_attnFalse_lossmae_pca4,higher_weight_decay,False,mae,4,0.2,0.5,0.001,0.001,0.42013888888888884,0.48338090070650064,0.39404350604551536,
higher_weight_decay_attnFalse_lossmae_pca8,higher_weight_decay,False,mae,8,0.2,0.5,0.001,0.001,0.23194444444444445,0.0921530071457752,0.19823108984079832,
higher_weight_decay_attnFalse_lossmae_pcaNone,higher_weight_decay,False,mae,,0.2,0.5,0.001,0.001,0.23506944444444444,0.02123475332446597,0.1009545895891885,
highest_weight_decay_attnTrue_losshuber_pca2,highest_weight_decay,True,huber,2,0.2,1.0,0.001,0.001,0.40451388888888884,0.5725114860481259,0.48752426030114293,
highest_weight_decay_attnTrue_losshuber_pca4,highest_weight_decay,True,huber,4,0.2,1.0,0.001,0.001,0.25,0.14096846015540412,0.2528017796576023,
highest_weight_decay_attnTrue_losshuber_pca8,highest_weight_decay,True,huber,8,0.2,1.0,0.001,0.001,0.30104166666666665,0.16227542015107982,0.2780818830748709,
highest_weight_decay_attnTrue_losshuber_pcaNone,highest_weight_decay,True,huber,,0.2,1.0,0.001,0.001,0.2645833333333333,0.07641457954323123,0.2163948433420349,
highest_weight_decay_attnTrue_lossmse_pca2,highest_weight_decay,True,mse,2,0.2,1.0,0.001,0.001,0.39062499999999994,0.15550241499490736,0.2529389645593862,
highest_weight_decay_attnTrue_lossmse_pca4,highest_weight_decay,True,mse,4,0.2,1.0,0.001,0.001,0.2048611111111111,0.05335632629783662,0.19305252023817351,
highest_weight_decay_attnTrue_lossmse_pca8,highest_weight_decay,True,mse,8,0.2,1.0,0.001,0.001,0.1423611111111111,0.2260764280804609,0.37441379293644184,
highest_weight_decay_attnTrue_lossmse_pcaNone,highest_weight_decay,True,mse,,0.2,1.0,0.001,0.001,0.2131944444444444,0.09427061724396854,0.20587842903720838,
highest_weight_decay_attnTrue_lossmae_pca2,highest_weight_decay,True,mae,2,0.2,1.0,0.001,0.001,0.2972222222222222,0.8631120071739086,0.3056717750926813,
highest_weight_decay_attnTrue_lossmae_pca4,highest_weight_decay,True,mae,4,0.2,1.0,0.001,0.001,0.36527777777777776,0.1279694042721865,0.23334985276839385,
highest_weight_decay_attnTrue_lossmae_pca8,highest_weight_decay,True,mae,8,0.2,1.0,0.001,0.001,0.3486111111111111,0.06504599412799794,0.19752254243940115,
highest_weight_decay_attnTrue_lossmae_pcaNone,highest_weight_decay,True,mae,,0.2,1.0,0.001,0.001,0.46770833333333334,0.04114119671034201,0.14045557721207538,
highest_weight_decay_attnFalse_losshuber_pca2,highest_weight_decay,False,huber,2,0.2,1.0,0.001,0.001,0.409375,0.055733837796476934,0.17455164420728883,
highest_weight_decay_attnFalse_losshuber_pca4,highest_weight_decay,False,huber,4,0.2,1.0,0.001,0.001,0.3729166666666667,0.4108918484601152,0.3046642454185834,
highest_weight_decay_attnFalse_losshuber_pca8,highest_weight_decay,False,huber,8,0.2,1.0,0.001,0.001,0.26284722222222223,0.08182570470631495,0.2034965412458405,
highest_weight_decay_attnFalse_losshuber_pcaNone,highest_weight_decay,False,huber,,0.2,1.0,0.001,0.001,0.17708333333333331,0.0872179301846393,0.24899792733291787,
highest_weight_decay_attnFalse_lossmse_pca2,highest_weight_decay,False,mse,2,0.2,1.0,0.001,0.001,0.40451388888888884,3.0995113657427074,0.7387783233231555,
highest_weight_decay_attnFalse_lossmse_pca4,highest_weight_decay,False,mse,4,0.2,1.0,0.001,0.001,0.33576388888888886,0.4816990450396143,0.4598937607370317,
highest_weight_decay_attnFalse_lossmse_pca8,highest_weight_decay,False,mse,8,0.2,1.0,0.001,0.001,0.38125,0.09162864799091403,0.21045122606058916,
highest_weight_decay_attnFalse_lossmse_pcaNone,highest_weight_decay,False,mse,,0.2,1.0,0.001,0.001,0.3416666666666667,0.07495150263182211,0.18769977168024826,
highest_weight_decay_attnFalse_lossmae_pca2,highest_weight_decay,False,mae,2,0.2,1.0,0.001,0.001,0.3020833333333333,1.4269791795256677,0.4967534141615033,
highest_weight_decay_attnFalse_lossmae_pca4,highest_weight_decay,False,mae,4,0.2,1.0,0.001,0.001,0.3184027777777778,0.43705511327913993,0.4194413588847965,
highest_weight_decay_attnFalse_lossmae_pca8,highest_weight_decay,False,mae,8,0.2,1.0,0.001,0.001,0.3444444444444444,0.07797848832398625,0.1982458389441793,
highest_weight_decay_attnFalse_lossmae_pcaNone,highest_weight_decay,False,mae,,0.2,1.0,0.001,0.001,0.21944444444444444,0.10816275114364815,0.2564718744251877,
lower_lr_attnTrue_losshuber_pca2,lower_lr,True,huber,2,0.2,0.1,0.0005,0.001,0.31666666666666665,0.2777718492657717,0.4209635690009842,
lower_lr_attnTrue_losshuber_pca4,lower_lr,True,huber,4,0.2,0.1,0.0005,0.001,0.19166666666666665,1.2693949600768362,0.8115806019632146,
lower_lr_attnTrue_losshuber_pca8,lower_lr,True,huber,8,0.2,0.1,0.0005,0.001,0.3600694444444444,0.27800236711643644,0.3884389440063387,
lower_lr_attnTrue_losshuber_pcaNone,lower_lr,True,huber,,0.2,0.1,0.0005,0.001,0.1736111111111111,0.22637085350704345,0.3911663355926672,
lower_lr_attnTrue_lossmse_pca2,lower_lr,True,mse,2,0.2,0.1,0.0005,0.001,0.19791666666666663,0.34333418409037303,0.32254330697469413,
lower_lr_attnTrue_lossmse_pca4,lower_lr,True,mse,4,0.2,0.1,0.0005,0.001,0.15625,0.7674205141895354,0.5753646774683148,
