region,cell_type,run,experiment,gene_encoder,attention,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
CrossRegion,Microglia,geFalse_attnTrue_pca8_higher_dropout,higher_dropout,False,True,8,0.24930555555555556,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca8_highest_dropout,highest_dropout,False,True,8,0.24027777777777776,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca8_higher_weight_decay,higher_weight_decay,False,True,8,0.18333333333333335,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca8_highest_weight_decay,highest_weight_decay,False,True,8,0.23541666666666666,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca8_lower_lr,lower_lr,False,True,8,0.2597222222222222,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca8_lowest_lr,lowest_lr,False,True,8,0.27569444444444446,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca8_higher_lambda_entropy,higher_lambda_entropy,False,True,8,0.24930555555555556,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geFalse_attnTrue_pca8_highest_lambda_entropy,highest_lambda_entropy,False,True,8,0.3194444444444444,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geFalse_attnTrue_pca8_dropout_wd,dropout_wd,False,True,8,0.20555555555555555,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca8_dropout_lr,dropout_lr,False,True,8,0.20902777777777776,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca8_wd_lr,wd_lr,False,True,8,0.17916666666666664,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca8_all_moderate,all_moderate,False,True,8,0.14166666666666666,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geFalse_attnTrue_pca8_all_strong,all_strong,False,True,8,0.19513888888888886,0.0,0.0,0.5,1.0,0.0001,0.1,
